"Earnings Per Share, Basic",Ticker,Fiscal Year,Fiscal Period
-10311.97842,ABEO,2021,Q3
-12594.75487,ABEO,2021,Q4
-4.96442,ABEO,2022,Q1
-2.07992,ABEO,2022,Q2
-1.47697,ABEO,2022,Q3
3.10648,ABG,2016,Q4
1.61905,ABG,2017,Q1
1.53365,ABG,2017,Q2
1.49029,ABG,2017,Q3
2.04327,ABG,2017,Q4
1.9466,ABG,2018,Q1
2.12808,ABG,2018,Q2
2.215,ABG,2018,Q3
2.07179,ABG,2018,Q4
2.13021,ABG,2019,Q1
2.85938,ABG,2019,Q2
2.38095,ABG,2019,Q3
2.28272,ABG,2019,Q4
1.02094,ABG,2020,Q1
2.56995,ABG,2020,Q2
5.01042,ABG,2020,Q3
4.64062,ABG,2020,Q4
4.80829,ABG,2021,Q1
7.88083,ABG,2021,Q2
6.77419,ABG,2021,Q3
6.47465,ABG,2021,Q4
10.95392,ABG,2022,Q1
9.11312,ABG,2022,Q2
9.28054,ABG,2022,Q3
-8.40445,ABIO,2016,Q4
-8.57129,ABIO,2017,Q1
-10.65703,ABIO,2017,Q2
-6.91632,ABIO,2017,Q3
-6.40939,ABIO,2017,Q4
-3.61435,ABIO,2018,Q1
-2.73519,ABIO,2018,Q2
-2.0591,ABIO,2018,Q3
-1.92476,ABIO,2018,Q4
-1.85721,ABIO,2019,Q1
-1.13446,ABIO,2019,Q2
-0.75749,ABIO,2019,Q3
-0.76766,ABIO,2019,Q4
-0.82807,ABIO,2020,Q1
-0.72579,ABIO,2020,Q2
-0.32768,ABIO,2020,Q3
-0.54656,ABIO,2020,Q4
-0.3318,ABIO,2021,Q1
-0.3912,ABIO,2021,Q2
-0.34311,ABIO,2021,Q3
-0.34524,ABIO,2021,Q4
-0.22678,ABIO,2022,Q1
-0.21839,ABIO,2022,Q2
-0.1619,ABIO,2022,Q3
-1.01429,ABM,2017,Q1
0.55714,ABM,2017,Q2
0.58824,ABM,2017,Q3
-0.05901,ABM,2017,Q4
0.42185,ABM,2018,Q1
0.40455,ABM,2018,Q2
0.50832,ABM,2018,Q3
0.14458,ABM,2018,Q4
0.19277,ABM,2019,Q1
0.4503,ABM,2019,Q2
0.55172,ABM,2019,Q3
0.71898,ABM,2019,Q4
0.42003,ABM,2020,Q1
-2.04634,ABM,2020,Q2
0.83408,ABM,2020,Q3
0.79671,ABM,2020,Q4
1.10863,ABM,2021,Q1
0.4628,ABM,2021,Q2
-0.20208,ABM,2021,Q3
0.50817,ABM,2021,Q4
1.12593,ABM,2022,Q1
0.72619,ABM,2022,Q2
0.8518,ABM,2022,Q3
0.72795,ABM,2022,Q4
-0.0075,ABMC,2016,Q4
-0.00458,ABMC,2017,Q1
-0.00243,ABMC,2017,Q2
-0.00167,ABMC,2017,Q3
-0.00995,ABMC,2017,Q4
-0.00895,ABMC,2018,Q1
-0.00494,ABMC,2018,Q2
-0.00661,ABMC,2018,Q3
-0.01363,ABMC,2018,Q4
-0.00741,ABMC,2019,Q1
-0.00172,ABMC,2019,Q2
-0.00442,ABMC,2019,Q3
-0.00738,ABMC,2019,Q4
-0.00951,ABMC,2020,Q1
-0.00064,ABMC,2020,Q2
-0.00603,ABMC,2020,Q3
-0.006,ABMC,2020,Q4
-0.01431,ABMC,2021,Q1
-0.00598,ABMC,2021,Q2
0.01661,ABMC,2021,Q3
-0.00914,ABMC,2021,Q4
-0.00861,ABMC,2022,Q1
-0.00909,ABMC,2022,Q2
-0.00704,ABMC,2022,Q3
0.35532,ABMD,2016,Q3
0.34187,ABMD,2016,Q4
0.85144,ABMD,2017,Q1
0.55511,ABMD,2017,Q2
0.30389,ABMD,2017,Q3
0.83122,ABMD,2017,Q4
2.02187,ABMD,2018,Q1
1.1149,ABMD,2018,Q2
0.99594,ABMD,2018,Q3
1.64024,ABMD,2018,Q4
1.96667,ABMD,2019,Q1
0.28842,ABMD,2019,Q2
1.53335,ABMD,2019,Q3
0.70598,ABMD,2019,Q4
0.99062,ABMD,2020,Q1
1.37932,ABMD,2020,Q2
1.36873,ABMD,2020,Q3
1.25663,ABMD,2020,Q4
-0.58762,ABMD,2021,Q1
1.25323,ABMD,2021,Q2
1.00676,ABMD,2021,Q3
1.32743,ABMD,2021,Q4
1.19702,ABMD,2022,Q1
